train_loss,epoch,step,val_acc,val_loss,train_acc,test_acc
0.9793466329574585,0,49,,,,
0.399952232837677,0,99,,,,
0.14938826858997345,0,149,,,,
0.09266684204339981,0,199,,,,
0.16088803112506866,0,249,,,,
0.7519687414169312,0,299,,,,
0.37630993127822876,0,349,,,,
0.8212080597877502,0,399,,,,
0.1665545552968979,0,449,,,,
0.12361759692430496,0,499,,,,
0.11150592565536499,0,549,,,,
0.08724477142095566,0,599,,,,
0.30774059891700745,0,649,,,,
0.1815929263830185,0,699,,,,
0.09678714722394943,0,749,,,,
0.12164440751075745,0,799,,,,
0.24722672998905182,0,849,,,,
,0,858,0.9714000225067139,0.09495765715837479,,
,0,858,,,0.9097060561180115,
0.08458159118890762,1,899,,,,
0.08113182336091995,1,949,,,,
0.009352358989417553,1,999,,,,
0.37102028727531433,1,1049,,,,
0.40766122937202454,1,1099,,,,
0.9524694085121155,1,1149,,,,
0.19617658853530884,1,1199,,,,
0.31451115012168884,1,1249,,,,
0.22198240458965302,1,1299,,,,
0.07198292762041092,1,1349,,,,
0.13556726276874542,1,1399,,,,
0.10514481365680695,1,1449,,,,
0.10971249639987946,1,1499,,,,
0.030529124662280083,1,1549,,,,
0.06928367167711258,1,1599,,,,
0.03234555944800377,1,1649,,,,
0.14650318026542664,1,1699,,,,
,1,1717,0.9620000123977661,0.1120566874742508,,
,1,1717,,,0.9213293194770813,
0.03147836774587631,2,1749,,,,
0.07903923839330673,2,1799,,,,
0.13992179930210114,2,1849,,,,
0.16412542760372162,2,1899,,,,
0.0700901672244072,2,1949,,,,
0.02838524803519249,2,1999,,,,
0.11188864707946777,2,2049,,,,
0.11375807970762253,2,2099,,,,
0.10078690946102142,2,2149,,,,
0.01949181966483593,2,2199,,,,
0.07058361917734146,2,2249,,,,
0.03298842906951904,2,2299,,,,
0.11725020408630371,2,2349,,,,
0.2198243886232376,2,2399,,,,
0.17564427852630615,2,2449,,,,
0.04294169321656227,2,2499,,,,
0.049688100814819336,2,2549,,,,
,2,2576,0.9765999913215637,0.07581783086061478,,
,2,2576,,,0.9739158749580383,
0.03331802785396576,3,2599,,,,
0.020015494897961617,3,2649,,,,
0.05844329297542572,3,2699,,,,
0.013768713921308517,3,2749,,,,
0.017078852280974388,3,2799,,,,
0.010741107165813446,3,2849,,,,
0.25587353110313416,3,2899,,,,
0.038497332483530045,3,2949,,,,
0.13276830315589905,3,2999,,,,
0.014006821438670158,3,3049,,,,
0.03733262047171593,3,3099,,,,
0.022133171558380127,3,3149,,,,
0.07879233360290527,3,3199,,,,
0.009261270985007286,3,3249,,,,
0.11206931620836258,3,3299,,,,
0.11423704773187637,3,3349,,,,
0.02021528221666813,3,3399,,,,
,3,3435,0.984000027179718,0.05327342078089714,,
,3,3435,,,0.9820467233657837,
0.13781192898750305,4,3449,,,,
0.005413078237324953,4,3499,,,,
0.031920429319143295,4,3549,,,,
0.0070101069286465645,4,3599,,,,
0.003894304856657982,4,3649,,,,
0.13658852875232697,4,3699,,,,
0.0637238621711731,4,3749,,,,
0.02291693165898323,4,3799,,,,
0.0019306959584355354,4,3849,,,,
0.003378220135346055,4,3899,,,,
0.025164805352687836,4,3949,,,,
0.005947984289377928,4,3999,,,,
0.012033495120704174,4,4049,,,,
0.021151654422283173,4,4099,,,,
0.006179398857057095,4,4149,,,,
0.0007524122484028339,4,4199,,,,
0.06344194710254669,4,4249,,,,
,4,4294,0.9861999750137329,0.04490180313587189,,
,4,4294,,,0.9862303733825684,
,5,4295,,,,0.9882000088691711
